Preise in EUR;;;;;;;;;;;;;
Nettopreis;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
 Heizl schwer (Industrie)/t ;162,38;154;224,92;267,54;278,98;392,05;283,68;386,12;504,2;573,75;511,77;472,79;332,34
 Heizl schwer (Kraftwerke)/t ;121,88;115,74;138,96;165,27;153,14;226,44;144,04;271,95;320,06;493,1;473,35;340,29;331,06
 Gasl (Industrie)/1000 l ;228,8;240,48;314,94;363,82;402,61;362,38;318,19;578,91;646,55;689,92;634,83;510,02;477,28
 Gasl (Haushalte)/1000�l ;251,28;291,73;401,85;463,83;445,5;615,06;407,38;517,28;658,95;724,02;679,89;634,02;485,54
 Diesel (komm. Einsatz)/l ;0,28;0,29;0,32;0,32;0,36;0,38;0,26;0,45;0,48;0,72;0,66;0,54;0,49
 Diesel (privater Einsatz)/l ;0,32;0,36;0,47;0,51;0,5;0,65;0,43;0,54;0,67;0,74;0,71;0,67;0,52
 Superbenzin 98 Octan/l ;0,39;0,43;0,52;0,57;0,58;0,62;0,51;0,62;0,73;0,81;0,78;0,75;0,63
 Superbenzin 95 Octan/l ;0,32;0,37;0,44;0,48;0,49;0,52;0,39;0,51;0,61;0,68;0,65;0,63;0,51
 Normalbenzin/l ;0,3;0,35;0,42;0,47;0,47;0,52;0,38;0,5;0,61;0,68;0,65;0,63;0,5
 Steinkohle (Industrie)/t ;76,34;85,69;91,58;88,36;95,95;117,96;122,62;105,14;126,79;142,83;143,84;105,09;103,07
 Naturgas (Haushalte)/kWh ;0,034;0,034;0,036;0,039;0,043;0,044;0,048;0,045;0,05;0,053;0,052;0,052;0,058
 Elektrischer Strom (Haushalte)/kWh ;0,092;0,098;0,096;0,094;0,106;0,126;0,132;0,141;0,143;0,143;0,14;0,132;0,126